Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Suresh Raina,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,CSK , 77 runs,Runs,224,54,2013
League,Kevon Cooper,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field first,RR , 8 wickets ,Wickets,146,55,2013
League,Gautam Gambhir,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bat first,KKR , 46 runs,Runs,153,56,2013
League,Jaydev Unadkat,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field first,RCB , 4 runs,Runs,184,57,2013
League,Mitchell Johnson,"Subrata Roy Sahara Stadium, Pune",Pune Warriors,Mumbai Indians,Pune Warriors,Bat first,MI , 5 wickets ,Wickets,113,58,2013
League,Parthiv Patel,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field first,SRH , 30 runs,Runs,151,59,2013
League,Jacques Kallis,"JSCA International Stadium Complex, Ranchi",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 5 wickets ,Wickets,116,60,2013
League,Shane Watson,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field first,RR , 5 wickets ,Wickets,142,61,2013
League,Kieron Pollard,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat first,MI , 7 wickets ,Wickets,179,62,2013
League,Adam Gilchrist,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,175,63,2013
League,MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,CSK , 33 runs,Runs,169,64,2013
League,Manish Pandey,"JSCA International Stadium Complex, Ranchi",Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Field first,Warriors , 7 runs,Runs,171,65,2013
League,Aditya Tare,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field first,MI , 14 runs,Runs,167,66,2013
League,David Miller,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field first,Kings XI , 7 runs,Runs,172,67,2013
League,Amit Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat first,SRH , 23 runs,Runs,137,68,2013
League,Azhar Mahmood,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field first,Kings XI , 50 runs,Runs,184,69,2013
